index,1,73,74,39,4,33,34,35,22,19,80,81,97
103,Tamil Nadu,85.0,92.9,96.0,40.9,23.6,20.8,10.1,84.3,84.4,64.5,97.6,81.6
104,Nagaland,28.3,58.9,55.6,18.2,28.3,22.1,26.9,86.6,86.1,87.4,89.9,95.2
105,Karnataka,53.6,79.6,78.1,61.4,34.5,36.2,25.0,84.0,81.9,36.5,92.5,68.2
106,Uttar Pradesh,29.2,71.5,69.1,49.8,39.3,38.3,25.7,76.5,67.6,64.1,99.3,72.4
107,Uttar Pradesh,19.8,54.2,60.6,49.6,39.2,29.3,12.1,76.7,63.2,60.3,98.5,64.4
108,West Bengal,80.5,65.2,75.0,78.2,32.7,31.6,21.1,100.0,97.2,64.2,99.1,73.2
109,Uttar Pradesh,32.9,65.2,63.5,52.4,39.5,29.9,17.4,82.7,72.6,66.7,97.5,70.6
110,West Bengal,79.2,73.9,84.7,60.1,34.3,31.6,20.6,100.0,95.9,83.0,90.8,77.0
111,Assam,46.9,73.8,76.8,70.9,30.6,21.7,23.6,71.7,73.6,83.8,50.2,87.7
112,Himachal Pradesh,65.6,81.1,81.0,85.8,28.5,18.4,16.3,92.9,79.8,61.7,89.2,86.2
113,Rajasthan,42.4,79.4,84.9,67.4,45.7,31.3,13.7,97.0,89.7,57.5,94.8,57.7
114,Jammu And Kashmir,82.6,82.6,81.9,73.2,25.2,16.8,14.0,93.4,91.6,66.8,89.8,66.6
115,Maharashtra,63.2,77.2,74.9,59.8,37.6,46.0,38.9,67.7,62.3,58.9,89.9,68.8
116,Uttarakhand,75.9,82.0,80.8,51.6,26.8,22.0,12.4,90.1,83.2,70.9,99.9,70.4
117,Tamil Nadu,90.932,89.153,92.552,36.667,27.51,28.327,22.637,95.728,91.156,74.459,96.536,85.283
118,Odisha,77.1,85.5,91.7,57.6,28.6,17.9,7.9,88.9,87.7,57.3,99.7,84.4
119,Gujarat,93.4,96.7,95.3,76.2,36.1,32.5,26.0,95.2,92.8,82.0,98.9,84.2
120,Odisha,83.7,84.8,85.1,85.7,28.1,30.5,25.1,96.1,88.8,66.4,76.2,72.4
121,Kerala,90.4,96.9,95.1,38.1,29.4,21.4,18.2,86.3,86.3,99.9,97.7,99.2
122,Bihar,24.9,50.5,50.9,59.7,45.4,39.2,19.3,81.9,69.0,48.7,99.8,49.4
123,Uttar Pradesh,43.6,72.6,71.2,58.4,38.9,39.4,20.1,95.6,92.3,76.8,100.0,54.7
124,Madhya Pradesh,64.2,86.9,86.5,56.4,27.5,34.9,19.7,89.8,84.5,56.6,80.0,67.7
125,Delhi,89.7,90.0,88.4,44.6,35.2,29.9,15.7,90.4,78.7,78.0,98.4,83.0
126,Jharkhand,30.7,55.6,56.4,67.2,41.7,36.9,17.7,73.0,62.6,41.6,90.8,50.7
127,Madhya Pradesh,64.5,93.4,94.9,58.9,23.5,31.1,21.1,93.4,90.3,56.2,79.1,71.6
128,Nagaland,34.7,50.7,45.4,47.9,26.3,28.0,23.5,66.4,52.3,88.5,83.4,91.6
129,Rajasthan,71.2,87.6,87.0,73.8,44.3,36.5,12.1,87.7,84.5,77.4,98.3,60.4
130,Punjab,72.0,81.8,81.3,66.8,20.3,16.9,9.9,89.0,76.6,88.1,99.1,76.6
131,Rajasthan,45.0,96.4,94.7,69.7,35.9,35.9,18.3,97.4,91.5,81.8,96.2,74.4
132,Odisha,71.7,85.9,86.5,64.6,43.1,38.0,18.1,100.0,97.0,58.4,97.5,53.5
133,Chhattisgarh,48.9,83.0,81.2,53.1,27.6,32.3,19.3,83.3,79.7,75.4,83.4,66.9
134,Nagaland,4.4,29.5,30.2,28.5,37.1,34.2,24.6,53.3,47.6,92.0,90.4,77.8
135,Karnataka,90.5,91.2,90.5,46.9,31.3,25.2,16.1,92.4,81.2,84.9,98.1,76.3
136,Chhattisgarh,56.9,64.9,58.2,68.7,53.8,46.1,20.0,83.8,84.6,30.6,94.3,44.7
137,Andhra Pradesh,71.4,83.9,89.2,73.9,36.4,32.2,19.2,92.5,76.8,61.7,93.1,58.3
138,Uttar Pradesh,69.9,71.1,70.6,63.0,34.6,27.8,21.4,78.6,77.4,77.5,98.8,81.3
139,Jammu And Kashmir,80.9,85.1,81.3,88.0,28.2,28.3,24.9,90.5,85.5,84.7,99.3,74.7
140,Tamil Nadu,98.662,97.095,97.805,35.725,20.194,18.863,15.542,97.321,95.9,74.347,99.892,85.674
141,Maharashtra,81.9,89.6,89.2,60.2,36.3,32.9,23.2,88.3,85.1,67.8,90.4,76.4
142,Madhya Pradesh,54.2,82.0,82.2,59.5,36.8,29.4,16.4,88.6,81.5,66.8,95.8,67.2
143,Madhya Pradesh,76.5,89.9,92.9,56.4,40.3,35.7,18.7,84.2,81.3,72.3,81.4,55.5
144,Uttar Pradesh,40.6,62.4,59.4,55.6,51.8,43.0,18.2,86.5,73.1,69.7,99.8,49.7
145,Maharashtra,56.8,79.8,80.6,48.0,40.8,36.8,28.4,89.8,78.0,66.4,85.4,76.3
146,Assam,37.6,48.4,54.5,65.2,48.5,37.8,21.5,84.0,77.3,61.8,96.7,69.5
147,Uttar Pradesh,39.0,73.7,65.1,54.5,51.0,49.8,25.7,80.1,65.6,59.3,98.2,57.0
148,Gujarat,90.2,80.1,80.1,77.1,37.6,53.1,40.9,91.3,91.3,71.7,91.2,68.9
149,West Bengal,75.7,67.2,76.5,80.3,30.3,38.8,26.0,93.5,94.1,49.2,96.3,68.3
150,Haryana,61.9,97.4,98.4,64.9,25.0,23.4,12.6,87.47797252747252,80.58622527472527,81.9,99.3,70.6
151,Mizoram,66.0,71.5,41.8,30.1,30.4,12.6,11.3,83.1,90.9,96.8,95.3,96.9
152,Rajasthan,58.7,85.9,84.6,67.2,24.5,26.1,24.9,95.6,91.1,83.4,94.4,69.3
153,Tamil Nadu,76.1,87.3,93.0,62.7,20.6,19.8,15.7,88.4,74.8,75.9,99.4,82.6
154,Haryana,57.4,86.9,86.9,49.2,24.1,13.7,10.9,93.3,81.4,87.2,99.3,85.0
155,Tamil Nadu,93.1,95.5,94.0,39.4,29.0,19.3,10.4,91.1,87.3,75.9,99.8,78.6
156,Gujarat,71.0,88.2,89.0,72.8,38.1,44.6,30.6,92.4,81.5,84.6,99.7,81.8
157,Jharkhand,35.2,83.1,84.5,61.7,28.3,40.6,32.7,82.6,78.0,77.2,86.3,76.0
