index1,index,2,District
454,454,Arwal,Malkangiri
455,455,Durg,Khordha
456,456,Bametara,Nabarangpur
457,457,Sambalpur,Jharsuguda
458,458,Botad,Boudh
459,459,Satna,Ganjam
460,460,Saharsa,Deogarh
461,461,Azamgarh,Puri
462,462,Mokokchung,Sonepur
463,463,Jind,Kalahandi
464,464,Nagaur,Balangir
465,465,Dhenkanal,Kendrapara
466,466,Firozpur,Anugul
467,467,Jaunpur,Jajapur
468,468,Mathura,Dhenkanal
469,469,West Siang,Kandhamal
470,470,Adilabad,Cuttack
471,471,Jamnagar,Nuapada
472,472,Davanagere,Kendujhar
473,473,Jashpur,Baleshwar
474,474,Auraiya,Mayurbhanj
475,475,Siwan,Sambalpur
476,476,Raichur,Pondicherry
477,477,Rajnandgaon,Yanam
478,478,Jehanabad,Karaikal
479,479,Viluppuram,Mahe
480,480,Rupnagar,Malerkotla
481,481,Jorhat,Jalandhar
482,482,Amreli,Rupnagar
483,483,Bahraich,Ferozepur
484,484,West Karbi Anglong,Pathankot
485,485,Mandya,Shahid Bhagat Singh Nagar
486,486,Ganderbal,Sangrur
487,487,Medchal Malkajgiri,Kapurthala
488,488,Indore,Moga
489,489,Morena,Fazilka
490,490,Shimla,Mansa
491,491,Pulwama,Gurdaspur
492,492,Kendujhar,Barnala
493,493,Biswanath,Amritsar
494,494,Dumka,Fatehgarh Sahib
495,495,North Delhi,Tarn Taran
496,496,Sonepur,Sri Muktsar Sahib
497,497,Banka,Hoshiarpur
498,498,North Goa,Faridkot
499,499,Ludhiana,S.A.S Nagar
500,500,Bhandara,Bathinda
501,501,Unakoti,Patiala
502,502,Giridih,Ludhiana
503,503,Ramgarh,Bikaner
504,504,East Champaran,Karauli
505,505,Perambalur,Bhilwara
506,506,Balangir,Ganganagar
507,507,Banswara,Pali
508,508,Fatehgarh Sahib,Baran
509,509,Kamjong,Udaipur
510,510,Bathinda,Banswara
511,511,Chirang,Dausa
512,512,Golaghat,Jodhpur
513,513,Hojai,Ajmer
514,514,Sindhudurg,Bharatpur
515,515,Gurugram,Dholpur
516,516,Pune,Chittorgarh
517,517,Baleshwar,Jalore
518,518,Gaya,Jaisalmer
519,519,Koppal,Pratapgarh
520,520,Dharwad,Jaipur
521,521,Churu,Tonk
522,522,Imphal West,Rajsamand
523,523,Sirohi,Hanumangarh
524,524,Ghaziabad,Alwar
525,525,Mau,Bundi
526,526,Tiruppur,Sirohi
527,527,Jhalawar,Jhunjhunu
528,528,Daman,Barmer
529,529,Hanumangarh,Sawai Madhopur
530,530,Dinajpur Uttar,Jhalawar
531,531,Karur,Churu
532,532,Mulugu,Dungarpur
533,533,Nadia,Sikar
534,534,Mahabubnagar,Nagaur
535,535,Ayodhya,Kota
536,536,Ahmednagar,East District
537,537,Baksa,South District
538,538,Kaushambi,West District
539,539,Yanam,North District
540,540,East Garo Hills,Chengalpattu
541,541,Korba,Tuticorin
542,542,Hardoi,Sivaganga
543,543,Hoshiarpur,Tiruvannamalai
544,544,Aravalli,Ramanathapuram
545,545,Raipur,Karur
546,546,Begusarai,Cuddalore
547,547,Pashchimi Singhbhum,Kanniyakumari
548,548,West Tripura,Ariyalur
549,549,Rewari,Virudhunagar
550,550,Vadodara,Mayiladuthurai
551,551,Jiribam,Theni
552,552,Nagaon,Tirupathur
553,553,Phek,Madurai
554,554,Mandi,The Nilgiris
555,555,Bengaluru Rural,Dharmapuri
556,556,Noney,Dindigul
557,557,Kasganj,Kallakurichi
558,558,Barmer,Namakkal
559,559,Chikkamagaluru,Pudukkottai
560,560,Kamareddy,Tenkasi
561,561,Kodagu,Perambalur
562,562,Kulgam,Villupuram
563,563,Yavatmal,Tiruppur
564,564,Uttara Kannada,Nagapattinam
565,565,Khammam,Kanchipuram
566,566,North West Delhi,Krishnagiri
567,567,Anand,Salem
568,568,Mandsaur,Tirunelveli
569,569,Warangal,Ranipet
570,570,Idukki,Chennai
571,571,Suryapet,Erode
572,572,Alipurduar,Vellore
573,573,Shamli,Thiruvarur
574,574,Purulia,Thiruvallur
575,575,Dakshin Dinajpur,Thanjavur
576,576,Champawat,Coimbatore
577,577,Lower Subansiri,Tiruchirappalli
