index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy
136,Kanker,77.9,87.4,88.1,69.2,24.8,36.1,24.5,91.8,92.3,80.5,98.7,77.2,38.0,26,65.2
137,Raigarh,55.4,89.6,88.9,59.5,39.1,28.0,14.9,95.2,90.9,66.3,97.5,74.9,38.0,26,65.2
138,Surguja,57.7,83.4,79.1,54.3,29.4,30.6,17.5,96.9,87.9,75.8,96.4,71.0,38.0,26,65.2
139,Sukma,74.0,80.6,79.9,77.9,41.8,37.4,21.2,76.8,80.1,35.5,96.0,39.8,38.0,26,65.2
140,Central,73.1,84.9,90.1,54.6,33.5,25.5,13.5,89.9,84.4,77.0,99.7,83.5,19.02777778,47,75.3
141,East,89.7,90.0,88.4,44.6,35.2,29.9,15.7,90.4,78.7,78.0,98.4,83.0,19.02777778,47,75.3
142,South,85.6,82.9,81.3,42.0,33.4,18.9,9.4,95.4,88.5,89.5,100.0,86.1,19.02777778,47,75.3
143,North West,77.9,86.1,85.1,46.6,26.9,22.8,10.9,88.6,83.2,88.2,99.7,85.0,19.02777778,47,75.3
144,South East,83.2,92.3,92.0,55.0,21.7,20.4,14.7,83.3,72.7,83.8,100.0,84.9,19.02777778,47,75.3
145,North,50.6,68.9,73.4,47.7,25.0,17.4,8.9,88.7,70.9,70.2,99.3,80.0,19.02777778,47,75.3
146,North East,86.2,82.6,85.9,50.1,38.7,21.8,8.8,91.6,86.4,89.5,98.2,83.8,19.02777778,47,75.3
147,West,67.1,86.9,91.4,54.7,36.1,19.0,8.4,89.7,76.0,76.8,99.8,82.3,19.02777778,47,75.3
148,New Delhi,80.1,86.4,85.6,52.0,27.4,20.7,6.8,93.4,82.2,69.4,99.1,81.8,19.02777778,47,75.3
149,Shahdara,88.9,91.5,92.3,53.5,32.9,30.2,21.2,90.6,82.5,83.4,99.8,83.9,19.02777778,47,75.3
150,South West,91.0,92.4,88.3,65.9,27.1,16.8,10.6,91.6,83.3,86.2,99.7,87.5,19.02777778,47,75.3
151,North Goa,91.3,93.1,95.9,46.2,24.2,25.8,17.7,92.2,85.5,87.7,98.1,92.4,5.0,2,70.43913043
152,South Goa,96.0,99.5,98.0,42.5,28.3,21.0,21.4,0.0,0.0,88.2,99.0,93.8,5.0,2,70.43913043
153,Navsari,94.7,98.2,99.6,72.6,36.8,43.6,29.0,95.0,95.0,80.1,97.4,84.1,23.0,22,69.9
154,Valsad,92.5,95.0,93.2,85.8,37.8,34.8,23.2,93.9,95.3,85.3,98.0,82.9,23.0,22,69.9
155,Ahmadabad,77.8,90.0,86.4,67.3,35.5,34.0,17.5,82.7,69.1,86.4,98.7,81.5,23.0,22,69.9
156,Gir Somnath,80.7,90.8,87.7,50.9,44.4,30.3,18.5,81.8,77.1,74.3,98.2,73.1,23.0,22,69.9
157,Rajkot,93.5,98.1,98.3,72.7,38.9,37.0,17.6,88.8,89.5,85.4,99.5,84.7,23.0,22,69.9
158,Botad,82.7,85.4,86.9,60.3,32.2,32.3,26.0,78.2,74.5,72.0,99.2,71.8,23.0,22,69.9
159,Surendranagar,57.5,78.4,73.4,56.9,39.2,41.8,27.1,78.4,67.8,63.8,96.9,75.1,23.0,22,69.9
160,Amreli,92.6,87.0,85.9,47.0,35.3,30.6,23.7,80.5,65.8,73.3,97.8,77.2,23.0,22,69.9
161,Surat,93.4,96.7,95.3,76.2,36.1,32.5,26.0,95.2,92.8,82.0,98.9,84.2,23.0,22,69.9
162,Morbi,75.1,89.9,87.8,62.0,32.9,32.3,25.2,79.7,67.1,80.1,98.3,82.4,23.0,22,69.9
163,Gandhinagar,71.0,88.2,89.0,72.8,38.1,44.6,30.6,92.4,81.5,84.6,99.7,81.8,23.0,22,69.9
164,Dang,90.2,80.1,80.1,77.1,37.6,53.1,40.9,91.3,91.3,71.7,91.2,68.9,23.0,22,69.9
165,Sabar Kantha,73.2,86.9,83.9,73.8,37.0,41.0,33.1,93.1,88.5,61.0,90.7,74.5,23.0,22,69.9
166,Jamnagar,73.8,92.4,86.4,60.1,28.4,28.9,23.8,92.7,78.4,86.6,99.7,83.1,23.0,22,69.9
167,Banas Kantha,56.1,86.1,87.4,65.8,39.0,44.1,25.5,63.7,52.2,53.9,93.6,63.7,23.0,22,69.9
168,Mahisagar,76.6,90.9,91.1,79.4,43.4,49.0,26.2,90.9,84.6,44.4,94.8,70.9,23.0,22,69.9
169,Porbandar,92.1,97.6,95.6,52.4,18.2,25.5,21.8,96.6,82.9,85.7,96.2,84.3,23.0,22,69.9
170,Arvalli,73.8,87.6,85.1,87.7,47.1,47.2,29.0,88.1,81.8,56.3,98.5,71.9,23.0,22,69.9
171,Anand,64.2,90.3,88.6,64.2,38.4,46.6,28.6,91.9,81.8,82.1,99.7,75.9,23.0,22,69.9
172,Patan,79.8,93.6,92.0,60.2,50.5,42.3,20.9,95.6,82.5,73.1,99.4,71.1,23.0,22,69.9
173,Devbhumi Dwarka,76.6,90.1,88.3,50.9,30.2,36.2,26.1,80.1,81.0,73.4,93.9,66.1,23.0,22,69.9
174,Kachchh,84.2,93.9,91.3,62.6,37.5,33.4,20.2,87.5,72.9,85.8,96.8,75.6,23.0,22,69.9
175,Kheda,61.2,85.1,83.2,77.6,37.3,39.5,30.9,86.9,74.3,63.3,97.7,70.9,23.0,22,69.9
176,Bhavnagar,70.9,87.0,90.4,52.0,32.6,39.5,29.6,83.5,76.0,72.9,95.1,74.2,23.0,22,69.9
177,Tapi,91.0,90.0,89.9,72.8,41.7,51.8,36.6,100.0,100.0,70.2,99.0,72.0,23.0,22,69.9
178,Chhotaudepur,81.2,91.1,87.4,80.3,48.6,48.1,28.4,89.3,85.7,53.0,97.4,53.2,23.0,22,69.9
179,Mahesana,56.6,79.7,83.4,77.7,31.0,41.4,28.2,85.1,81.9,72.1,97.0,75.1,23.0,22,69.9
180,Vadodara,65.9,90.7,88.7,74.3,42.3,39.9,20.1,93.2,84.9,85.6,99.5,84.6,23.0,22,69.9
181,Dohad,70.9,87.2,87.0,79.7,55.3,53.0,27.8,75.0,68.5,35.9,91.0,56.1,23.0,22,69.9
182,Narmada,83.4,87.2,87.6,83.0,47.2,52.8,23.0,84.6,82.8,54.6,96.8,67.3,23.0,22,69.9
183,Panch Mahals,88.7,88.0,89.2,71.7,47.1,51.9,35.7,96.9,96.6,58.9,91.0,71.7,23.0,22,69.9
184,Junagadh,72.5,84.1,82.8,55.5,37.3,26.4,17.3,96.9,95.0,81.7,97.0,82.8,23.0,22,69.9
185,Bharuch,65.7,78.8,81.7,69.8,40.9,45.5,24.5,87.3,83.8,77.7,97.2,74.0,23.0,22,69.9
186,Rewari,63.8,90.5,89.7,71.8,25.9,20.5,9.3,90.2,83.5,86.4,99.7,86.0,28.0,22,69.8
187,Fatehabad,60.1,96.9,94.4,66.5,24.6,26.6,16.0,93.8,90.7,87.3,99.8,71.1,28.0,22,69.8
188,Hisar,69.9,93.3,93.6,63.6,27.8,21.4,16.4,97.1,87.0,89.1,99.3,77.7,28.0,22,69.8
189,Rohtak,72.3,96.2,96.1,63.1,28.9,22.1,12.5,83.1,84.7,90.0,98.5,85.8,28.0,22,69.8
190,Gurugram,48.1,87.7,87.6,77.6,22.1,22.2,15.7,81.8,68.4,84.5,99.7,85.4,28.0,22,69.8
191,Jhajjar,60.1,96.0,96.2,65.2,15.6,9.7,8.0,96.5,90.9,91.7,96.6,88.2,28.0,22,69.8
192,Nuh,45.9,65.9,66.9,66.4,44.4,37.3,14.2,65.7,57.8,71.7,97.1,41.9,28.0,22,69.8
193,Jind,49.6,96.4,94.5,50.7,25.5,22.9,8.8,84.2,86.2,88.5,96.2,81.3,28.0,22,69.8
194,Sirsa,61.9,97.4,98.4,64.9,25.0,23.4,12.6,87.47797252747252,80.58622527472527,81.9,99.3,70.6,28.0,22,69.8
195,Yamunanagar,66.4,88.3,85.6,60.4,27.7,23.1,12.1,94.1,84.4,83.5,100.0,85.8,28.0,22,69.8
196,Sonipat,64.1,94.5,92.5,52.8,23.6,12.7,9.2,90.1,83.0,86.7,97.2,87.3,28.0,22,69.8
197,Panchkula,76.9,95.3,97.3,64.8,21.8,19.3,12.0,97.1,85.1,82.6,99.2,84.9,28.0,22,69.8
198,Mahendragarh,55.2,88.0,90.4,67.3,25.2,15.4,8.4,87.6,76.0,79.8,99.7,81.1,28.0,22,69.8
199,Kurukshetra,59.8,95.3,96.5,57.7,24.9,22.5,12.8,94.6,73.6,82.6,99.9,83.0,28.0,22,69.8
200,Bhiwani,60.4,91.5,91.2,67.1,29.0,20.6,6.0,95.7,78.6,89.7,97.5,78.8,28.0,22,69.8
201,Ambala,57.4,86.9,86.9,49.2,24.1,13.7,10.9,93.3,81.4,87.2,99.3,85.0,28.0,22,69.8
202,Karnal,84.7,97.5,97.3,61.5,29.2,20.5,9.8,98.7,91.4,83.5,99.9,84.0,28.0,22,69.8
203,Faridabad,51.2,93.5,93.3,55.9,28.9,19.5,8.0,85.1,74.4,84.2,97.9,82.3,28.0,22,69.8
204,Kaithal,68.8,95.3,93.9,64.3,29.9,29.9,20.7,91.9,76.4,89.7,98.5,70.9,28.0,22,69.8
205,Palwal,53.4,82.7,83.0,59.7,31.0,21.0,9.9,86.7,75.0,80.3,96.7,68.3,28.0,22,69.8
