index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy,overall_health_condition
111,Mirzapur,36.5,84.3,83.6,66.0,35.9,20.2,9.5,83.1,71.1,81.8,97.3,69.4,18.0,22,72.7,-0.1205014647862825
112,Fazilka,36.5,69.8,69.6,43.6,43.4,27.6,12.5,80.9,74.0,72.3,96.9,70.9,38.0,157,65.3,-0.0729377158718259
113,Jhansi,36.6,80.4,76.1,40.2,40.9,39.3,25.2,73.6,55.0,73.2,96.8,69.2,38.0,157,65.3,0.1065729750195709
114,Munger,36.8,80.7,83.4,73.8,35.5,39.5,26.7,86.8,75.1,62.8,97.7,69.5,27.0,36,69.1,0.0690185345873098
115,Kokrajhar,36.9,68.3,65.5,63.7,34.6,35.2,20.5,79.5,59.9,72.2,87.3,73.7,36.0,25,66.9,-0.1885304455537483
116,Chhatarpur,36.9,72.2,79.8,67.1,45.1,34.6,17.5,87.1,79.6,55.5,86.5,60.5,43.0,51,66.5,-0.07838721184179
117,Kamle,36.902,64.246,62.783,53.057,32.583,11.527,11.716,78.908,75.368,82.213,97.05,69.914,21.0,17,70.43913043,-0.4925112505267176
118,Khunti,37.4,63.9,61.0,71.5,38.5,44.0,32.1,87.4,76.5,55.2,68.6,55.3,25.0,23,69.1,-0.2185187408702437
119,Darrang,37.5,53.2,66.3,69.9,42.0,33.1,27.0,82.2,68.7,67.9,99.7,75.6,36.0,25,66.9,-0.0820690578437952
120,Dhubri,37.6,49.6,48.8,76.3,30.4,9.0,7.1,90.8,69.3,81.7,99.8,56.6,21.0,17,70.43913043,-0.7273859806930641
121,Tawang,37.6,48.4,54.5,65.2,48.5,37.8,21.5,84.0,77.3,61.8,96.7,69.5,36.0,25,66.9,-0.1593248770525597
122,Lohardaga,37.7,79.2,82.1,59.4,40.7,43.4,26.6,95.2,92.9,67.7,78.4,65.2,25.0,23,69.1,0.1010050880025696
123,Jamui,37.9,66.7,69.8,75.9,43.0,37.5,19.4,85.7,68.2,37.6,90.5,48.7,27.0,36,69.1,-0.3850703325296833
126,Kasganj,38.1,63.3,66.9,61.4,44.3,33.6,14.6,89.2,80.5,63.1,99.6,74.2,38.0,157,65.3,0.0373495531410895
125,Fatehpur,38.1,62.0,67.8,64.1,45.1,35.5,19.3,87.2,72.1,69.8,99.4,56.4,38.0,157,65.3,-0.0191348248958476
124,Mainpuri,38.1,66.8,65.5,60.5,51.1,38.0,17.8,71.5,61.8,63.1,98.8,62.3,38.0,157,65.3,0.0158254773524222
127,Azamgarh,38.5,72.9,72.5,57.8,33.4,28.0,14.4,80.0,69.8,72.8,100.0,76.5,38.0,157,65.3,-0.0479631059664702
128,Kamjong,38.8,44.9,44.8,20.6,27.1,16.0,11.6,53.2,49.8,81.4,50.9,86.9,6.0,9,70.43913043,-0.945111359627502
129,Ukhrul,38.8,44.9,44.8,20.6,27.1,16.0,11.6,53.2,49.8,81.4,50.9,86.9,6.0,9,70.43913043,-0.945111359627502
130,Banda,39.0,73.7,65.1,54.5,51.0,49.8,25.7,80.1,65.6,59.3,98.2,57.0,38.0,157,65.3,0.1600475946075194
131,Lower Subansiri,39.1,67.7,65.5,59.4,30.7,8.1,11.5,76.5,75.8,82.8,98.1,73.4,21.0,17,70.43913043,-0.4607300165240915
132,Godda,39.2,67.9,66.8,62.0,39.4,40.7,24.5,86.8,69.8,54.9,91.4,46.6,25.0,23,69.1,-0.3401186632254337
133,Papum Pare,39.3,54.9,57.1,74.1,38.2,44.9,27.8,86.4,84.9,41.5,92.6,51.8,25.0,23,69.1,-0.350402363137023
134,Firozabad,39.3,53.2,58.1,44.4,29.7,15.6,9.0,77.3,63.9,75.7,92.9,77.0,21.0,17,70.43913043,-0.6178254016884123
135,Dumka,39.3,62.8,67.2,67.8,31.6,21.3,11.0,90.3,75.0,71.2,98.4,64.4,38.0,157,65.3,-0.2712663527210521
136,Mathura,39.3,73.7,72.0,61.8,46.9,25.6,9.5,79.7,72.1,69.0,99.4,71.4,38.0,157,65.3,0.0033071100831204
137,Sidhi,39.4,79.7,75.9,59.6,39.1,32.8,16.6,92.3,88.0,44.7,83.7,64.4,43.0,51,66.5,-0.175609188067
